DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
06-Jan-2026,EQ,"1,519.80","1,539.70","1,519.80","1,519.80","1,528.60","1,530.80","1,529.78","1,673.00","1,335.00",1614326,"2,46,95,62,443.40",41535
05-Jan-2026,EQ,"1,511.00","1,525.00","1,507.20","1,511.60","1,520.10","1,519.80","1,517.57","1,673.00","1,335.00",1532549,"2,32,57,46,394.60",35259
02-Jan-2026,EQ,"1,500.90","1,517.80","1,498.60","1,500.90","1,510.00","1,511.60","1,509.53","1,673.00","1,335.00",964611,"1,45,61,06,338.90",28980
01-Jan-2026,EQ,"1,512.00","1,512.00","1,499.00","1,511.30","1,502.00","1,500.90","1,501.65","1,673.00","1,335.00",228078,"34,24,94,068.20",18814
31-Dec-2025,EQ,"1,492.50","1,513.60","1,490.10","1,492.50","1,508.10","1,511.30","1,503.01","1,673.00","1,335.00",883966,"1,32,86,07,784.60",28410
30-Dec-2025,EQ,"1,494.00","1,498.70","1,475.90","1,494.00","1,488.90","1,492.50","1,486.94","1,673.00","1,335.00",1993298,"2,96,39,23,809.30",49869
29-Dec-2025,EQ,"1,506.00","1,514.50","1,492.00","1,506.00","1,492.00","1,494.00","1,500.15","1,673.00","1,335.00",1077645,"1,61,66,31,844.50",33036
26-Dec-2025,EQ,"1,496.30","1,510.90","1,494.00","1,496.30","1,504.00","1,506.00","1,506.11","1,673.00","1,335.00",951555,"1,43,31,49,333.20",22760
24-Dec-2025,EQ,"1,502.50","1,508.00","1,490.20","1,500.70","1,495.30","1,496.30","1,496.65","1,673.00","1,335.00",1022767,"1,53,07,28,690.00",24892
23-Dec-2025,EQ,"1,520.40","1,522.00","1,498.30","1,512.90","1,501.50","1,500.70","1,508.47","1,673.00","1,335.00",826988,"1,24,74,86,387.40",32903
22-Dec-2025,EQ,"1,513.00","1,522.50","1,508.20","1,517.10","1,510.20","1,512.90","1,514.89","1,673.00","1,335.00",757496,"1,14,75,20,544.10",28153
19-Dec-2025,EQ,"1,495.50","1,520.10","1,495.50","1,498.90","1,515.00","1,517.10","1,512.50","1,673.00","1,335.00",769045,"1,16,31,80,945.40",24121
